Disaster code,Dates,Incident,Climate/N
FL-00157,09/14/2020,Hurricane Sally,c
DE-00026,10/02/2020,Tropical Storm Isaias,c
NY-00198,10/02/2020,Tropical Storm Isaias,c
VA-00089,10/07/2020,Tropical Storm Isaias,c
AL-00112,10/09/2020,Hurricane Sally,c
CA-00328,09/04/2020,Wildfires,c
LA-00105,10/06/2020,Hurricane Delta,c
TX-00576,10/27/2020,Rose Hill Apartment Complex Fire,n
OR-00111,09/07/2020,Wildfires and Straight-line Winds,c
UT-00078,10/27/2020,Severe Storms and Flooding,c
NY-00199,08/24/2020,Severe Storms and Flooding,c
CA-00331,11/25/2020,Wildfires,c
NC-00120,11/12/2020,Tropical Storm Eta,c
AL-00115,12/10/2020,Hurricane Zeta,c
AL-00116,12/10/2020,Hurricane Zeta,c
NJ-00059,12/11/2020,Tropical Storm Isaias,c
PA-00108,12/18/2020,Tropical Storm Isaias,c
OK-00144,12/21/2020,Severe Winter Storm,c
LA-00108,12/23/2020,Hurricane Delta,c
CA-00332,12/30/2020,Mountain View Fire,c
MS-00130,10/28/2020,Hurricane Zeta,c
MS-00134,12/31/2020,Hurricane Zeta,c
UT-00079,12/31/2020,Earthquake and Aftershocks,n
LA-00106,10/26/2020,Hurricane Zeta,c
UT-00080,01/12/2021,Straight-line Winds,c
TN-00125,01/28/2021,Explosion,n
FL-00164,01/28/2021,Tropical Storm Eta,c
FL-00163,01/28/2021,Hurricane Sally,c
TX-00578,02/08/2021,Hurricane Laura,c
WA-00089,02/09/2021,Wildfires and Straight-line Winds,c
AK-00047,02/17/2021,"Severe Storms, Flooding, Landslides, and Mudslides",c
TX-00591,02/19/2021,Severe Winter Storms,c
CO-00130,02/23/2021,Wildfires,c
OK-00145,02/08/2021,Severe Winter Storms,c
LA-00109,02/25/2021,Hurricane Zeta,c
NC-00124,03/03/2021,Tropical Storm Eta,c
LA-00110,03/09/2021,Severe Winter Storms,c
AL-00118,04/01/2021,Tornado,c
TN-00127,04/21/2021,Severe Winter Storms,c
KY-00084,02/27/2021,"Severe Storms, Flooding, Landslides, and Mudslides",c
AL-00120,04/26/2021,"Severe Storm, Straight-line Winds, and Tornadoes",c
HI-00062,04/29/2021,"Severe Storms, Flooding, Landslides and Mudslides",c
MS-00135,02/11/2021,Severe Winter Storms,c
TN-00126,05/08/2021,"Severe Storms, Tornadoes, and Flooding",c
WV-00054,05/13/2021,Severe Winter Storms,c
HI-00063,05/13/2021,"Severe Storms, Flooding, and Landslides",c
WV-00053,02/27/2021,Severe Storms and Flooding,c
TX-00599,05/27/2021,Severe Storms and Tornadoes,c
LA-00113,06/22/2021,Severe Winter Storms,c
KS-00145,06/28/2021,Flooding,c
FL-00167,06/29/2021,Surfside Building Collapse,n
IN-00075,08/18/2023,Severe Storm and Flooding,c
IL-00064,07/16/2021,Tornado,c
MI-00099,06/25/2021,"Severe Storms, Flooding, and Tornadoes",c
GA-00124,07/20/2021,Severe Storms and Tornadoes,c
FL-00168,07/22/2021,Tropical Storm Elsa,c
AL-00122,07/22/2021,Tropical Storm Claudette,c
IL-00065,07/26/2021,Flooding,c
PA-00111,07/29/2021,Flash Flooding,c
OK-00150,08/05/2021,Flooding,c
TX-00605,08/11/2021,"Severe Storms, Straight-line Winds, and Flash Flooding",c
WA-00097,08/23/2021,Hanover Apartment Complex Fire,n
IL-00067,08/23/2021,Flooding,c
TN-00130,08/21/2021,Severe Storm and Flooding,c
CA-00340,07/14/2021,Wildfires,c
LA-00115,08/26/2021,Hurricane Ida,c
PA-00112,08/31/2021,Flash Flooding,c
TN-00131,09/01/2021,Severe Storm and Flooding,c
CA-00342,09/02/2021,Beckwourth Complex Fire,n
NJ-00062,09/01/2021,Remnants of Hurricane Ida,c
NJ-00063,09/05/2021,Remnants of Hurricane Ida,c
NY-00208,09/01/2021,Remnants of Hurricane Ida,c
NY-00209,09/05/2021,Remnants of Hurricane Ida,c
LA-00116,09/07/2021,Hurricane Ida,c
NC-00127,08/16/2021,Remnants of Tropical Storm Fred,c
NC-00128,09/08/2021,Remnants of Tropical Storm Fred,c
NY-00204,09/09/2021,Severe Storms and Flooding,c
NY-00205,09/09/2021,Severe Storms and Flooding,c
NY-00206,09/09/2021,Severe Storms and Flooding,c
PA-00113,09/10/2021,Remnants of Hurricane Ida,c
FL-00169,09/24/2021,Severe Storms and Flooding,c
ZZ-00012,10/01/2016,Military Reservist Economic Injury Disaster Loan Program,n
OR-00085,09/19/2022,Severe Storms and Flooding,c
CA-00276,08/30/2017,Flooding Due to Extreme Snow Melt,c
WA-00068,04/21/2017,"Severe Winter Storms, Flooding, Landslides, and Mudslides",c
MS-00101,05/22/2017,"Severe Storms, Tornadoes, Straight-line Winds, and Flooding",c
MO-00081,06/02/2017,"Severe Storms, Tornadoes, Straight-line Winds, and Flooding",c
OK-00114,06/06/2017,"Tornadoes, Straight-line Winds, Flooding and Severe Storms",c
MS-00100,06/12/2017,"Severe Weather including Tornadoes, Straight-line Winds, Torrential Rain, Lightning and Flooding",c
WI-00058,06/12/2017,Tornado,c
IN-00060,5/20/2017,Severe Storms and Flooding,c
NC-00093,06/14/2017,Severe Storms,c
IN-00061,10/06/2023,Glacier Outburst Flooding,n
TN-00103,06/16/2017,Severe Thunderstorms with Damaging Winds,c
AR-00094,04/26/2017,"Severe Storms, Tornadoes, Straight-line Winds, and Flooding",c
TX-00482,06/20/2017,Severe Storms,c
TN-00105,06/23/2017,"Severe Storms, Straight-line Winds, and Flooding",c
CO-00077,06/30/2017,Hailstorm,c
NE-00067,07/03/2017,"Storms, Tornadoes and Extremely High Winds",c
TX-00484,07/26/2017,"Severe Storms, Straight-line Winds, Hail and Flooding.",c
